Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
Centro Recreativo de Estarreja,Aveiro,Estarreja,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,19,1
Centro Recreativo do Casal do Grilo,Santarém,Entroncamento,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,10,0
Centro Recreativo e Acção Cultural,Aveiro,Vagos,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,21,0
Centro Recreativo e Cultural da Juventude do Casal D´Anja,Leiria,Marinha Grande,Futebol_Futsal,Futebol,Futsal,2012 / 2013,16,0
Centro Recreativo e Cultural da Quinta dos Lombos,Lisboa,Cascais,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,7,98
Centro Recreativo e Cultural da Quinta dos Lombos,Lisboa,Cascais,Corfebol_Corfebol,Corfebol,Corfebol,s/d,0,0
Centro Recreativo e Cultural da Quinta dos Lombos,Lisboa,Cascais,Futebol_Futsal,Futebol,Futsal,2012 / 2013,106,46
Centro Recreativo e Cultural da Quinta dos Lombos,Lisboa,Cascais,Surf_Surf,Surf,Surf,2012 / 2013,62,15
Centro Recreativo e Cultural das Neves,Viana do Castelo,Ponte de Lima,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,11,0
Centro Recreativo e Cultural de Briteiros,Braga,Guimarães,Petanca_Petanca,Petanca,Petanca,2012 / 2013,8,2
Centro Recreativo e Cultural de Moreiras Grandes,Santarém,Torres Novas,Futebol_Futsal,Futebol,Futsal,2012 / 2013,14,0
Centro Recreativo e Cultural de Rocas do Vouga,Aveiro,Sever do Vouga,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,42,0
Centro Recreativo e Cultural de Salir do Porto,Leiria,Caldas da Rainha,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,17,1
Centro Recreativo e Cultural de Santo André,Viseu,Mangualde,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,9,0
Centro Recreativo e Cultural de Santo André,Viseu,Mangualde,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,68,0
Centro Recreativo e Cultural de Santo António de Assentis,Santarém,Torres Novas,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,25,0
Centro Recreativo e Cultural de Santo António de Assentis,Santarém,Torres Novas,Futebol_Futebol 7,Futebol,Futebol 7,s/d,0,0
Centro Recreativo e Cultural de Távora,Viana do Castelo,Arcos de Valdevez,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,24,0
Centro Recreativo e Cultural de Vale,Aveiro,Santa Maria da Feira,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,18,0
Centro Recreativo e Cultural de Vale,Aveiro,Santa Maria da Feira,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,17,0
Centro Recreativo e Desportivo Louriceirense,Santarém,Alcanena,Damas_Damas,Damas,Damas,s/d,0,0
Centro Recreativo e Desportivo Louriceirense,Santarém,Alcanena,Futebol_Futsal,Futebol,Futsal,2012 / 2013,17,0
Centro Recreativo e Popular de Barrosas,Porto,Felgueiras,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,62,0
Centro Recreativo e Popular de Barrosas,Porto,Felgueiras,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,15,0
Centro Recreativo e Popular de Delães,Braga,Vila Nova de Famalicão,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,95,0
Centro Recreativo e Popular de Delães,Braga,Vila Nova de Famalicão,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,21,0
Centro Recreativo e Popular de Delães,Braga,Vila Nova de Famalicão,Futebol_Futsal,Futebol,Futsal,2012 / 2013,15,0
Centro Recreativo e Popular de Ribafria,Leiria,Alcobaça,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,4,0
Centro Recreativo e Popular de Ribafria,Leiria,Alcobaça,Futebol_Futsal,Futebol,Futsal,2012 / 2013,87,22
Centro Recreativo e Popular de Ribafria,Leiria,Alcobaça,Patinagem_Patinagem Artística,Patinagem,Patinagem Artística,2012 / 2013,3,36
Centro Recreativo e Popular de Ribafria,Leiria,Alcobaça,Ténis_Ténis,Ténis,Ténis,2012 / 2013,9,9
Centro Recreativo Popular,Leiria,Alcobaça,Orientação_Orientação,Orientação,Orientação,2012 / 2013,13,1
Centro Recreativo Desportivo e Cultural de Santiago de Subarrifana,Porto,Penafiel,Futebol_Futsal,Futebol,Futsal,2012 / 2013,17,0
Centro Republicano de Instrução e Recreio Aljustrelense,Beja,Aljustrel,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,12,10
Centro Shotokai de Queluz,Lisboa,Sintra,Futebol_Futsal,Futebol,Futsal,2012 / 2013,65,0
Centro Shotokai de Queluz,Lisboa,Sintra,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,4,34
Centro Shotokai de Queluz,Lisboa,Sintra,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,5,26
Centro Shotokai de Queluz,Lisboa,Sintra,Judo_Judo,Judo,Judo,2012 / 2013,37,5
Centro Social Ameal Solidário,Coimbra,Coimbra,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Centro Social da Juventude de Belinho,Braga,Esposende,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,19,0
Centro Social da Juventude de Mar,Braga,Esposende,Andebol_Andebol,Andebol,Andebol,2012 / 2013,0,99
Centro Social da Juventude Unida das Marinhas,Braga,Esposende,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,21,3
Centro Social de Brito-Aquabrito,Braga,Guimarães,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,6,2
Centro Social de Desporto e Cultura de Ribeira de Frades,Coimbra,Coimbra,Futebol_Futsal,Futebol,Futsal,2012 / 2013,20,0
Centro Social de Figueiró do Campo,Coimbra,Soure,Futebol_Futsal,Futebol,Futsal,2012 / 2013,13,1
Centro Social de Leça do Balio,Porto,Matosinhos,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,11,0
Centro Social de São João/ Urgicentro - Sanfil,Coimbra,Coimbra,Futebol_Futsal,Futebol,Futsal,2012 / 2013,88,1
Centro Social de Sobrado,Aveiro,Castelo de Paiva,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,12,16
Centro Social e Cultural de Ribamar,Lisboa,Lourinhã,Futebol_Futsal,Futebol,Futsal,2012 / 2013,31,0
Centro Social e Cultural de Ribamar,Lisboa,Lourinhã,Patinagem_Patinagem Artística,Patinagem,Patinagem Artística,2012 / 2013,1,19
Centro Social e Cultural de Sever,Viseu,Moimenta da Beira,Futebol_Futsal,Futebol,Futsal,2012 / 2013,70,0
Centro Social e Desportivo de Câmara de Lobos,Madeira,Câmara de Lobos,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,7,0
Centro Social e Desportivo de Câmara de Lobos,Madeira,Câmara de Lobos,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,115,0
Centro Social e Desportivo de Câmara de Lobos,Madeira,Câmara de Lobos,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,28,0
Centro Social e Desportivo de Câmara de Lobos,Madeira,Câmara de Lobos,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,13,13
Centro Social e Desportivo de Câmara de Lobos,Madeira,Câmara de Lobos,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,32
Centro Social e Desportivo de Sant' Ana,Coimbra,Coimbra,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Centro Social e Paroquial de Carvalhosa,Porto,Paços de Ferreira,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,12
Centro Social e Paroquial de São Pedro de Castelões,Aveiro,Vale de Cambra,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,15
Centro Social e Paroquial de Vila Flor,Bragança,Vila Flor,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,32,0
Centro Social e Paroquial de Vila Flor,Bragança,Vila Flor,Futebol_Futsal,Futebol,Futsal,2012 / 2013,15,0
Centro Social Ernesto Gonçalves Costa,Braga,Barcelos,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,23,0
Centro Social Padres Redentoristas,Castelo Branco,Castelo Branco,Judo_Judo,Judo,Judo,2012 / 2013,47,14
Centro Social para o Desenvolvimento do Sobralinho,Lisboa,Vila Franca de Xira,Andebol_Andebol,Andebol,Andebol,2012 / 2013,12,0
Centro Social para o Desenvolvimento do Sobralinho,Lisboa,Vila Franca de Xira,Futebol_Futsal,Futebol,Futsal,2012 / 2013,15,0
Centro Social Paroquial de Alfena,Porto,Valongo,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,46,5
Centro Social Paroquial de Alfena,Porto,Valongo,Patinagem_Patinagem Artística,Patinagem,Patinagem Artística,2012 / 2013,5,67
Centro Social Paroquial de Alvarães,Viana do Castelo,Viana do Castelo,Judo_Judo,Judo,Judo,2012 / 2013,22,3
Centro Social Paroquial Paulo VI,Leiria,Leiria,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,5,12
Centro Social Paroquial São Romão de Carnaxide,Lisboa,Oeiras,Judo_Judo,Judo,Judo,2012 / 2013,10,4
Centro Social Recreativo e Cultural de Campelos,Braga,Guimarães,Futebol_Futsal,Futebol,Futsal,2012 / 2013,34,0
Centro Social Cultural e Recreativo de Carregosa,Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,19,13
Centro Social Cultural e Recreativo de Paranhos da Beira ,Guarda,Seia,Damas_Damas,Damas,Damas,s/d,0,0
Centro Social Cultural e Recreativo de Poutena,Aveiro,Anadia,Futebol_Futebol 11,Futebol,Futebol 11,s/d,0,0
Centro Social Cultural e Recreativo de Poutena,Aveiro,Anadia,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,28,0
Centro Social Cultural Desportivo e Recreativo Leões da Beira,Viseu,Viseu,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,5,3
Centro Social Desportivo e Cultural da Pedra,Lisboa,Torres Vedras,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,16,0
Centro Social Desportivo e Cultural da Pedra,Lisboa,Torres Vedras,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,23,0
Centro Social Desportivo e Cultural do Bairro das Campinas,Porto,Porto,Boxe_Boxe,Boxe,Boxe,2012 / 2013,2,0
Centro Social Recreativo e Desportivo da Ota,Lisboa,Alenquer,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,12,2
Centro Sócio Cultural dos Trabalhadores dos Serviços Prisionais,Castelo Branco,Idanha-a-Nova,Tiro_Tiro,Tiro,Tiro,2012 / 2013,7,1
Centro Ténis de Almada,Setúbal,Almada,Ténis_Ténis,Ténis,Ténis,2012 / 2013,24,5
Centro Vicentino da Serra de Portalegre,Portalegre,Portalegre,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,4,0
Centro Vicentino da Serra de Portalegre,Portalegre,Portalegre,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,3,0
CentroActivo,Coimbra,Coimbra,Ténis_Ténis,Ténis,Ténis,2012 / 2013,2,0
Cenycet Lda.,Lisboa,Mafra,Equestre_Equestre,Equestre,Equestre,2012 / 2013,5,4
Cerca Futebol Clube,Lisboa,Torres Vedras,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,34,0
Cerca Futebol Clube,Lisboa,Torres Vedras,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,51,0
Cerveira Futsal Clube,Viana do Castelo,Vila Nova de Cerveira,Futebol_Futsal,Futebol,Futsal,2012 / 2013,15,0
Challenger Clube de Lourosa,Aveiro,Santa Maria da Feira,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,10,5
Chamusca Basket Clube,Santarém,Chamusca,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,57,22
Charity Multisport Racing,Lisboa,Oeiras,Triatlo_Triatlo,Triatlo,Triatlo,2012 / 2013,10,1
Charneca da Caparica Futebol Clube,Setúbal,Almada,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,107,0
Charneca da Caparica Futebol Clube,Setúbal,Almada,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,110,0
Chave Clube Freamunde,Porto,Paços de Ferreira,Futebol_Futsal,Futebol,Futsal,2012 / 2013,16,0
Choupana Futebol Clube,Madeira,Funchal,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,23,0
Chs Clube Hipico De Serzedo Lda.,Porto,Vila Nova de Gaia,Equestre_Equestre,Equestre,Equestre,2012 / 2013,20,28
Ciclo Clube de Lagos,Faro,Lagos,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,5,0
Ciclo Madeira Clube Desportivo,Madeira,Funchal,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,20,0
Ciclo Mário Miranda,Braga,Guimarães,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,16,0
Ciclo Tocha,Lisboa,Vila Franca de Xira,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,1,0
Ciclo Zezerense,Porto,Matosinhos,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,8,0
Ciclo-Ases Grupo Clt. Fazendas Almeirim,Santarém,Almeirim,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,10,0
Cicloclube Pedais do Dão,Viseu,Santa Comba Dão,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,17,0
Ciclomoina,Lisboa,Vila Franca de Xira,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,4,0
Cicloreis Lda.,Lisboa,Mafra,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,10,0
Cicloturismo da Vila de Arrifana,Aveiro,Santa Maria da Feira,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,7,0
Cicloturismo Sapadores Bombeiros do Porto,Porto,Porto,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,31,0
Cine Clube de Torres Novas,Santarém,Torres Novas,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,17,0
Círculo de Esgrima da Escola Secundária da Amadora,Lisboa,Amadora,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,25,17
Circulo de Recreio Arte e Cultura,Aveiro,Santa Maria da Feira,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,10,0
Círculo de Xadrez de Montemor-O-Velho/ Ctga,Coimbra,Montemor-o-Velho,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,17,1
Círculo Português de Bridge,Lisboa,Lisboa,Bridge_Bridge,Bridge,Bridge,2012 / 2013,18,7
Cister Sport Alcobaça,Leiria,Alcobaça,Andebol_Andebol,Andebol,Andebol,2012 / 2013,45,35
Citania de Sanfins Futebol Clube,Porto,Paços de Ferreira,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,101,0
Citania de Sanfins Futebol Clube,Porto,Paços de Ferreira,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,14,0
Citania de Sanfins Futebol Clube,Porto,Paços de Ferreira,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,12
Civate - Grupo Cultural e Recreativo de Cicloturismo Vale Tejo,Santarém,Santarém,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,2,0
Clip Ténis,Porto,Porto,Ténis_Ténis,Ténis,Ténis,2012 / 2013,14,1
Club 5Basket - Associação,Porto,Gondomar,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,49,6
Club Banif,Lisboa,Lisboa,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,5,1
Club Banif,Lisboa,Lisboa,Tiro com Armas de Caça_Tiro com Armas de Caça,Tiro com Armas de Caça,Tiro com Armas de Caça,2012 / 2013,2,0
Club Banif,Lisboa,Lisboa,Triatlo_Triatlo,Triatlo,Triatlo,2012 / 2013,17,1
Club BTTOMBOS,Porto,Paredes,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,20,0
Club Camões,Guarda,Gouveia,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,46,15
Club Camões,Guarda,Gouveia,Damas_Damas,Damas,Damas,s/d,0,0
Club de de Tiro de Gaia,Porto,Vila Nova de Gaia,Tiro_Tiro,Tiro,Tiro,2012 / 2013,15,1
Club de Vila Real,Vila Real,Vila Real,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,16,5
Club Desporto Jardim da Amoreira,Lisboa,Odivelas,Futebol_Futsal,Futebol,Futsal,2012 / 2013,47,0
Club Golf Ibérico,Lisboa,Lisboa,Golfe_Golfe,Golfe,Golfe,2012 / 2013,19,1
Club Internacional de Foot-Ball,Lisboa,Lisboa,Corfebol_Corfebol,Corfebol,Corfebol,s/d,0,0
Club Internacional de Foot-Ball,Lisboa,Lisboa,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,100,0
Club Internacional de Foot-Ball,Lisboa,Lisboa,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,30,0
Club Internacional de Foot-Ball,Lisboa,Lisboa,Ténis_Padel,Ténis,Padel,s/d,0,0
Club Internacional de Foot-Ball,Lisboa,Lisboa,Ténis_Ténis,Ténis,Ténis,2012 / 2013,79,15
Club Naútico de Marecos,Porto,Gondomar,Canoagem_Canoagem,Canoagem,Canoagem,2012 / 2013,41,21
Club Setubalense,Setúbal,Setúbal,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,4,5
Club Sport Marítimo,Madeira,Funchal,Andebol_Andebol,Andebol,Andebol,2012 / 2013,110,0
Club Sport Marítimo,Madeira,Funchal,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,75,49
Club Sport Marítimo,Madeira,Funchal,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,0,9
Club Sport Marítimo,Madeira,Funchal,Bridge_Bridge,Bridge,Bridge,2012 / 2013,11,2
Club Sport Marítimo,Madeira,Funchal,FPDD_FPDD,FPDD,FPDD,2012 / 2013,1,0
Club Sport Marítimo,Madeira,Funchal,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,225,40
Club Sport Marítimo,Madeira,Funchal,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,148,3
Club Sport Marítimo,Madeira,Funchal,Futebol_Futsal,Futebol,Futsal,2012 / 2013,43,0
Club Sport Marítimo,Madeira,Funchal,Ginástica_Ginástica Rítmica,Ginástica,Ginástica Rítmica,2012 / 2013,0,60
Club Sport Marítimo,Madeira,Funchal,Natação_Águas Abertas,Natação,Águas Abertas,2012 / 2013,14,7
Club Sport Marítimo,Madeira,Funchal,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,30,24
Club Sport Marítimo,Madeira,Funchal,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,28,0
Club Sport Marítimo,Madeira,Funchal,Patinagem_Patinagem Velocidade,Patinagem,Patinagem Velocidade,2012 / 2013,7,6
Club Sport Marítimo,Madeira,Funchal,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,11,0
Club Sport Marítimo,Madeira,Funchal,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,45,0
Clube 4 Estilos,Portalegre,Portalegre,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,2,0
Clube 4 Estilos,Portalegre,Portalegre,Triatlo_Triatlo,Triatlo,Triatlo,2012 / 2013,13,0
Clube Académico da Feira,Aveiro,Santa Maria da Feira,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,60,7
Clube Académico da Feira,Aveiro,Santa Maria da Feira,Ténis_Ténis,Ténis,Ténis,2012 / 2013,57,22
Clube Académico da Trofa,Porto,Trofa,Voleibol_Voleibol,Voleibol,Voleibol,s/d,,
Clube Académico das Gândaras - Recreativo Cultural e Social,Coimbra,Lousã,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,5,0
Clube Académico das Gândaras - Recreativo Cultural e Social,Coimbra,Lousã,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,78,0
Clube Académico das Gândaras - Recreativo Cultural e Social,Coimbra,Lousã,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,70,1
Clube Académico das Gândaras - Recreativo Cultural e Social,Coimbra,Lousã,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Clube Académico de Bragança,Bragança,Bragança,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,47,0
Clube Académico de Bragança,Bragança,Bragança,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,27
Clube Académico de Carviçais,Bragança,Torre de Moncorvo,Futebol_Futsal,Futebol,Futsal,2012 / 2013,11,0
Clube Académico de Desportos,Lisboa,Vila Franca de Xira,Futebol_Futsal,Futebol,Futsal,2012 / 2013,76,0
Clube Académico de Desportos,Lisboa,Vila Franca de Xira,Ténis_Ténis,Ténis,Ténis,2012 / 2013,10,2
Clube Académico de Mogadouro,Bragança,Mogadouro,Futebol_Futsal,Futebol,Futsal,2012 / 2013,19,0
Clube Académico de Pedras Rubras,Porto,Maia,Futebol_Futsal,Futebol,Futsal,2012 / 2013,93,1
Clube Académico de Pedrouços,Porto,Maia,Futebol_Futsal,Futebol,Futsal,2012 / 2013,11,0
Clube Académico de Penafirme,Lisboa,Torres Vedras,Surf_Surf,Surf,Surf,2012 / 2013,2,0
Clube Académico de Penafirme,Lisboa,Torres Vedras,Triatlo_Triatlo,Triatlo,Triatlo,2012 / 2013,10,0
Clube Académico de Penafirme,Lisboa,Torres Vedras,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,0
Clube Académico de Sangemil,Porto,Maia,Futebol_Futsal,Futebol,Futsal,2012 / 2013,34,0
Clube Académico do Fundão,Castelo Branco,Fundão,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,70,0
Clube Académico do Fundão,Castelo Branco,Fundão,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,94,0
Clube Alentejano de Desportos Vimieirense,Évora,Arraiolos,Futebol_Futsal,Futebol,Futsal,2012 / 2013,10,0
"Clube Alentejano dos Desportos ""Os Vianenses""",Évora,Viana do Alentejo,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,12,0
Clube Alpha Bikers,Bragança,Bragança,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,5,2
Clube Amador de Desportos do Entroncamento,Santarém,Entroncamento,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,106,0
Clube Amador de Desportos do Entroncamento,Santarém,Entroncamento,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,166,0
Clube Amador de Desportos do Entroncamento,Santarém,Entroncamento,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,17
Clube Amador de Mirandela,Bragança,Mirandela,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,11,4
Clube Amador de Mirandela,Bragança,Mirandela,Hóquei_Hóquei,Hóquei,Hóquei,2012 / 2013,45,17
Clube Amador de Pesca Desportiva de Estremoz,Évora,Estremoz,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,2,0
Clube Amadores de Pesca da Régua,Vila Real,Peso da Régua,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,3,0
Clube Amadores de Pesca de Abrantes,Santarém,Abrantes,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,20,0
Clube Amadores de Pesca de Felgueiras,Porto,Felgueiras,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,17,0
Clube Amadores de Pesca de Setúbal,Setúbal,Setúbal,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,7,0
Clube Amadores de Pesca de Tomar,Santarém,Tomar,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,3,0
Clube Amadores de Pesca de Vila de Aves,Porto,Santo Tirso,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,19,0
Clube Amadores de Pesca do Almonda,Santarém,Torres Novas,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,16,0
Clube Amadores de Pesca do Barreiro,Setúbal,Barreiro,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,4,0
Clube Amadores de Pesca do Entroncamento,Santarém,Entroncamento,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,21,0
Clube Amadores de Pesca do Marco,Porto,Marco de Canaveses,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,16,0
Clube Amadores de Pesca do Ribatejo,Santarém,Almeirim,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,30,2
Clube Amadores de Pesca do Vale de Santarém,Santarém,Santarém,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,10,0
